0,1,2,3,4,5,6,7,8,9
job,do,economy,back,create,million,tax,well,number,bring
10.8,1.4,0.8,0.8,0.6,0.5,0.5,0.5,0.4,0.4
trump,donald,campaign,administration,makeamericagreatagain,obama,foxnews,election,spy,poll
12.6,1.4,0.7,0.5,0.5,0.4,0.3,0.2,0.2,0.2
news,fake,medium,cnn,story,report,bad,corrupt,even,russia
8.0,7.0,3.7,1.2,1.1,0.7,0.7,0.6,0.5,0.5
democrat,nothing,impeachment,house,left,radical,hoax,collusion,hunt,witch
11.6,1.6,1.6,0.8,0.8,0.8,0.6,0.6,0.6,0.6
realdonaldtrump,whitehouse,teamtrump,gopchairwoman,live,potus,foxnews,tonight,tomfitton,sign
12.5,1.4,1.0,0.5,0.4,0.3,0.3,0.2,0.2,0.2
people,many,million,come,know,kill,help,support,enemy,love
12.1,1.0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
get,do,back,bad,ready,caught,even,need,nothing,dont
12.0,1.0,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.2
border,strong,crime,wall,military,endorsement,security,total,vet,complete
7.8,2.8,2.6,2.6,2.4,2.0,1.8,1.8,1.7,1.5
make,deal,bad,story,statement,progress,decision,call,schiff,mistake
11.6,1.4,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3
thank,makeamericagreatagain,maga,support,love,florida,carolina,rating,service,honor
11.8,0.7,0.7,0.5,0.5,0.3,0.3,0.3,0.3,0.3
state,united,governor,help,federal,local,court,allow,give,mexico
9.9,4.8,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
country,history,must,much,well,bad,many,world,ever,best
11.0,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.4
go,back,well,keep,way,crazy,come,win,fast,left
11.2,0.6,0.6,0.4,0.4,0.4,0.3,0.3,0.2,0.2
big,win,tax,cut,night,rally,congratulation,crowd,day,really
10.5,2.5,1.2,0.9,0.7,0.7,0.6,0.6,0.6,0.6
american,worker,history,family,whitehouse,tax,african,every,high,first
10.4,0.8,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
new,york,book,poll,hampshire,deal,fail,city,even,governor
10.0,2.7,0.9,0.7,0.6,0.4,0.4,0.3,0.3,0.3
say,call,thing,wrong,even,impeachment,lie,didnt,biden,nothing
10.3,1.1,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3
year,many,last,two,ago,low,first,come,unemployment,best
10.0,2.6,1.1,0.9,0.8,0.7,0.6,0.5,0.5,0.5
want,dont,dems,know,tax,joe,open,take,didnt,nothing
10.1,2.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4
hillary,clinton,crooked,fbi,bad,campaign,russia,collusion,email,hunt
6.4,4.4,3.8,1.9,1.5,1.4,1.3,1.1,1.0,0.9
usa,china,trade,deal,tariff,billion,dollar,take,good,come
7.5,4.8,2.5,2.3,2.0,1.7,1.5,1.2,1.1,1.0
vote,need,senate,tax,election,pelosi,tomorrow,even,senator,voting
9.6,1.2,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4
today,honor,house,whitehouse,day,white,pm,meeting,join,welcome
9.2,2.3,2.3,1.9,1.5,1.4,0.8,0.8,0.7,0.7
work,hard,together,well,help,do,keep,much,bill,good
9.6,2.9,0.7,0.7,0.6,0.6,0.5,0.5,0.3,0.3
would,even,well,much,joe,biden,run,obama,far,like
9.7,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3
time,first,long,york,fail,much,take,one,waste,last
10.1,1.0,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4
america,keep,first,day,together,nation,one,safe,world,let
10.5,0.9,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.4
republican,party,win,house,senate,dems,approval,rating,high,must
9.0,3.3,1.4,1.4,1.2,1.2,1.1,1.0,0.5,0.5
never,look,like,see,good,forward,happen,even,call,one
7.0,5.2,4.6,3.0,1.7,1.4,1.3,1.1,0.8,0.7
